QP,mAP@0.5,mAP@0.5:0.95,meanIoU
15,0.9999999993308799,0.9999999993308799,0.99988246
17,0.9644304779090466,0.9459115621624644,0.97812295
19,0.9466774043016674,0.9221575206095951,0.9746581
21,0.932560454568553,0.9029411557759204,0.97149
23,0.911749396816866,0.877796144447192,0.96833426
25,0.8967526675864478,0.8558991984336947,0.9648137
27,0.8657752566976931,0.8187549101069138,0.96126306
29,0.8454351399771559,0.790568931978315,0.9577715
31,0.8186039711011099,0.7595598446549487,0.95486754
33,0.7875266854766679,0.7217792099649685,0.9502534
35,0.7564234062085239,0.6815755505907638,0.9455772
37,0.7217262463035664,0.6403377200438095,0.94016427
39,0.6732297375638949,0.5865390669804018,0.9348033
41,0.6184808512818605,0.5251199933018744,0.92770964
43,0.5698767703275914,0.47194069011261996,0.91983426
45,0.5218784052589457,0.41617883011618034,0.90976775
47,0.4494582019549248,0.34893431952181797,0.9034771
49,0.38098992215304633,0.28406345102770786,0.892283
51,0.3123784575338638,0.22471075323974338,0.8820545
