QP,mAP@0.5,mAP@0.5:0.95,meanIoU
15,0.9999999989148126,0.9999999989148126,0.9999135
17,0.9654576649257683,0.9592597554247622,0.98471725
19,0.9471962559995697,0.9370568161337779,0.9815072
21,0.922709252460897,0.9110483294171596,0.97939426
23,0.913243373338661,0.8979045357845215,0.97665924
25,0.8920019082410433,0.8740008681873652,0.97428256
27,0.8712530374868446,0.8484412775031736,0.9711375
29,0.8627307830006594,0.835150379354153,0.9684491
31,0.8378634268820682,0.802435254953679,0.9640567
33,0.8103649098320216,0.7688546976621716,0.96038204
35,0.7827463402139477,0.7326603470400427,0.95552343
37,0.7574361991235345,0.6944726127917167,0.9491661
39,0.7386779718654486,0.6593171471141779,0.9411411
41,0.7139892249895609,0.6149105925624145,0.93040895
43,0.6917411941466306,0.5730646859090286,0.91906077
45,0.6420229899195249,0.5079578497551818,0.90640116
47,0.567852309126255,0.4237923622920559,0.893792
49,0.4731345045668086,0.33512436873609797,0.88352305
51,0.4086529426385337,0.2776301267700272,0.87130445
